TEAM_ID,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,TM_TOV_PCT,TS_PCT,PACE,SEASON_ID,PLAYOFF_WINS
1610612749,0.512,106.5,106.2,0.3,1.51,17.1,0.327,0.667,0.158,0.539,94.27,1999-00,2
1610612750,0.61,104.2,101.7,2.5,1.94,19.8,0.318,0.696,0.147,0.525,93.37,1999-00,1
1610612751,0.378,102.8,103.9,-1.1,1.51,15.8,0.298,0.657,0.143,0.517,94.63,1999-00,0
1610612752,0.61,100.9,99.5,1.5,1.32,15.8,0.277,0.699,0.16,0.527,90.54,1999-00,9
1610612753,0.5,101.1,100.3,0.8,1.18,15.3,0.344,0.669,0.178,0.516,98.68,1999-00,0
1610612755,0.598,99.9,98.3,1.5,1.42,16.6,0.335,0.68,0.165,0.501,94.25,1999-00,5
1610612756,0.646,102.7,97.3,5.4,1.53,18.8,0.316,0.676,0.173,0.532,95.67,1999-00,4
1610612757,0.72,106.5,99.5,6.9,1.55,18.2,0.335,0.693,0.166,0.546,91.03,1999-00,10
1610612758,0.537,103.6,100.7,2.9,1.47,17.0,0.308,0.679,0.16,0.526,100.66,1999-00,2
1610612759,0.646,103.5,97.1,6.4,1.48,17.3,0.301,0.703,0.162,0.535,92.11,1999-00,1
1610612760,0.549,104.0,103.1,1.0,1.63,17.2,0.312,0.673,0.148,0.52,94.74,1999-00,2
1610612761,0.549,102.7,102.8,-0.1,1.71,17.7,0.324,0.686,0.147,0.511,94.3,1999-00,0
1610612762,0.671,105.7,101.1,4.6,1.67,19.1,0.329,0.698,0.163,0.54,90.84,1999-00,4
1610612763,0.268,100.7,106.7,-6.0,1.23,16.2,0.326,0.679,0.181,0.524,92.46,1999-00,0
1610612764,0.354,101.8,105.2,-3.4,1.34,16.4,0.329,0.686,0.17,0.521,94.33,1999-00,0
1610612737,0.305,96.9,102.4,-5.5,1.14,14.9,0.313,0.691,0.178,0.5,93.63,2000-01,0
1610612738,0.439,100.1,102.3,-2.2,1.33,16.2,0.28,0.69,0.166,0.521,93.81,2000-01,0
1610612766,0.561,99.7,97.6,2.1,1.61,17.8,0.315,0.71,0.156,0.506,91.24,2000-01,6
1610612741,0.183,95.9,105.9,-10.0,1.4,17.4,0.302,0.673,0.173,0.495,90.47,2000-01,0
1610612739,0.366,99.3,103.5,-4.2,1.27,16.2,0.331,0.678,0.177,0.509,92.32,2000-01,0
1610612742,0.646,105.6,101.2,4.4,1.52,16.5,0.272,0.678,0.146,0.544,94.52,2000-01,4
1610612743,0.488,102.2,104.9,-2.8,1.73,18.0,0.306,0.69,0.147,0.511,93.98,2000-01,0
