TEAM_ID,PLAYOFF_WINS,SEASON_ID
1610612753,13,2008-09
1610612755,2,2008-09
1610612757,2,2008-09
1610612759,1,2008-09
1610612762,1,2008-09
1610612737,4,2009-10
1610612738,15,2009-10
1610612739,6,2009-10
1610612741,1,2009-10
1610612742,2,2009-10
1610612743,2,2009-10
1610612747,16,2009-10
1610612748,1,2009-10
1610612749,3,2009-10
1610612753,10,2009-10
1610612756,10,2009-10
1610612757,2,2009-10
1610612759,4,2009-10
1610612760,2,2009-10
1610612762,4,2009-10
1610612737,6,2010-11
1610612738,5,2010-11
1610612740,2,2010-11
1610612741,9,2010-11
1610612742,16,2010-11
1610612743,1,2010-11
1610612747,4,2010-11
1610612748,14,2010-11
1610612753,2,2010-11
1610612754,1,2010-11
1610612755,1,2010-11
1610612757,2,2010-11
1610612759,2,2010-11
1610612760,9,2010-11
1610612763,7,2010-11
1610612737,2,2011-12
1610612738,11,2011-12
1610612741,2,2011-12
1610612743,3,2011-12
1610612746,4,2011-12
1610612747,5,2011-12
1610612748,16,2011-12
1610612752,1,2011-12
1610612753,1,2011-12
1610612754,6,2011-12
1610612755,7,2011-12
1610612759,10,2011-12
1610612760,13,2011-12
1610612763,3,2011-12
1610612737,2,2012-13
1610612738,2,2012-13
1610612741,5,2012-13
1610612743,2,2012-13
1610612744,6,2012-13
1610612745,2,2012-13
1610612746,2,2012-13
1610612748,16,2012-13
1610612751,3,2012-13
1610612752,6,2012-13
1610612754,11,2012-13
1610612759,15,2012-13
1610612760,5,2012-13
1610612763,8,2012-13
1610612737,3,2013-14
1610612741,1,2013-14
1610612742,3,2013-14
1610612744,3,2013-14
1610612745,2,2013-14
1610612746,6,2013-14
1610612748,13,2013-14
1610612751,5,2013-14
1610612754,10,2013-14
1610612757,5,2013-14
1610612759,16,2013-14
1610612760,10,2013-14
1610612761,3,2013-14
1610612763,3,2013-14
1610612764,6,2013-14
1610612737,8,2014-15
1610612739,14,2014-15
1610612741,6,2014-15
1610612742,1,2014-15
1610612744,16,2014-15
1610612745,9,2014-15
1610612746,7,2014-15
1610612749,2,2014-15
1610612751,2,2014-15
1610612757,1,2014-15
1610612759,3,2014-15
1610612763,6,2014-15
1610612764,6,2014-15
1610612737,4,2015-16
1610612738,2,2015-16
1610612739,16,2015-16
1610612742,1,2015-16
1610612744,15,2015-16
1610612745,1,2015-16
1610612746,2,2015-16
1610612748,7,2015-16
1610612754,3,2015-16
1610612757,5,2015-16
1610612759,6,2015-16
1610612760,11,2015-16
1610612761,10,2015-16
1610612766,3,2015-16
1610612737,2,2016-17
1610612738,9,2016-17
1610612739,13,2016-17
1610612741,2,2016-17
1610612744,16,2016-17
1610612745,6,2016-17
1610612746,3,2016-17
1610612749,2,2016-17
1610612759,8,2016-17
1610612760,1,2016-17
1610612761,4,2016-17
1610612762,4,2016-17
1610612763,2,2016-17
1610612764,7,2016-17
1610612738,11,2017-18
1610612739,12,2017-18
1610612740,5,2017-18
1610612744,16,2017-18
1610612745,11,2017-18
1610612748,1,2017-18
1610612749,3,2017-18
1610612750,1,2017-18
1610612754,3,2017-18
1610612755,5,2017-18
1610612759,1,2017-18
1610612760,2,2017-18
1610612761,4,2017-18
1610612762,5,2017-18
1610612764,2,2017-18
1610612738,5,2018-19
1610612743,7,2018-19
1610612744,14,2018-19
1610612745,6,2018-19
1610612746,2,2018-19
1610612749,10,2018-19
1610612751,1,2018-19
1610612753,1,2018-19
1610612755,7,2018-19
1610612757,8,2018-19
1610612759,3,2018-19
1610612760,1,2018-19
1610612761,16,2018-19
1610612762,1,2018-19
1610612738,10,2019-20
1610612742,2,2019-20
1610612743,9,2019-20
1610612745,5,2019-20
1610612746,7,2019-20
1610612747,16,2019-20
1610612748,14,2019-20
1610612749,5,2019-20
1610612753,1,2019-20
1610612757,1,2019-20
1610612760,3,2019-20
1610612761,7,2019-20
1610612762,3,2019-20
1610612737,10,2020-21
1610612738,1,2020-21
1610612742,3,2020-21
1610612743,4,2020-21
1610612746,10,2020-21
1610612747,2,2020-21
1610612749,16,2020-21
1610612751,7,2020-21
1610612752,1,2020-21
1610612755,7,2020-21
1610612756,14,2020-21
1610612757,2,2020-21
1610612762,6,2020-21
1610612763,1,2020-21
1610612764,1,2020-21
1610612737,1,2021-22
1610612738,14,2021-22
1610612740,2,2021-22
1610612741,1,2021-22
1610612742,9,2021-22
1610612743,1,2021-22
1610612744,16,2021-22
1610612748,11,2021-22
1610612749,7,2021-22
1610612750,2,2021-22
1610612755,6,2021-22
1610612756,7,2021-22
1610612761,2,2021-22
1610612762,2,2021-22
1610612763,6,2021-22
1610612737,2,2022-23
1610612738,11,2022-23
1610612739,1,2022-23
1610612743,16,2022-23
1610612744,6,2022-23
1610612746,1,2022-23
1610612747,8,2022-23
1610612748,13,2022-23
1610612749,1,2022-23
1610612750,1,2022-23
1610612752,6,2022-23
1610612755,7,2022-23
1610612756,6,2022-23
1610612758,3,2022-23
1610612763,2,2022-23
1610612738,16,2023-24
1610612739,5,2023-24
1610612742,13,2023-24
1610612743,7,2023-24
1610612746,2,2023-24
1610612747,1,2023-24
1610612748,1,2023-24
1610612749,2,2023-24
1610612750,9,2023-24
1610612752,7,2023-24
1610612753,3,2023-24
1610612754,8,2023-24
1610612755,2,2023-24
1610612760,6,2023-24
