ident,SBBE,SBBR,SBBV,SBCF,SBCT,SBCY,SBEG,SBFI,SBFL,SBFZ,SBGL,SBGO,SBGR,SBJP,SBKP,SBMO,SBNF,SBPA,SBPS,SBPV,SBRB,SBRF,SBRJ,SBSG,SBSL,SBSP,SBSV,SBVT,SBMQ,SBCG,SBTE,SBAR,SBPJ
SBRB,2345.0434409963264,2263.972903521587,1623.4260098157333,2788.0570853545732,2632.1701481238706,1429.356602907802,1152.004782609018,2248.4618376968897,2831.1333638152014,3309.7402202516278,2989.8893779161504,2154.7371186587434,2728.987917402253,3633.943993590886,2646.6081431738207,3517.5363965618812,2767.0827695424623,2831.6650896046312,3200.5776195199487,456.6347678716884,0.0,3624.858611146199,3002.7286356497084,3610.4095101335492,2735.7808900562,2723.7402291066733,3239.281061814261,3175.1374838520615,2163.4998883796347,1842.499266985301,2814.0981371475764,3371.418456226719,2139.071797629038
SBRF,1678.072568483798,1654.0349720958322,3107.3284278176675,1608.3304819617101,2453.866868712327,2450.8995269545244,2836.5704784314808,2839.1838879264606,2602.8005843594647,627.2132865539953,1859.1529483029658,1816.5988209034751,2100.1924512573673,108.87788428937561,2106.2423092832087,181.20474366803955,2538.0174445108687,2962.4758715974967,1028.4318304796766,3187.541177696023,3624.858611146199,0.0,1864.4017126081887,266.69252036714454,1200.6574939063894,2128.984765745938,648.5999723423716,1466.979410410626,2007.4633340298953,2527.6354373121603,936.880472493451,395.53483747622914,1493.869213207847
SBRJ,2461.9296178233753,928.2380089059031,3437.5428259116293,373.5365046573306,675.5741412128167,1579.727622837023,2861.8819106417973,1185.9849832066066,757.2509297787938,2185.231333340166,14.3332957890506,942.6592418689371,342.9903258037348,1960.4627771989883,406.77818901447665,1683.8126915517093,707.7817505610942,1119.746006546659,836.8467121419889,2716.9603171136364,3002.7286356497084,1864.4017126081887,0.0,2081.267358830928,2262.883424992674,365.48316822853127,1224.0395566222594,418.9298397817031,2692.669500959207,1219.5239372845522,1985.1825069469141,1475.2407239716192,1507.853409165387
SBSG,1534.2607973353927,1770.735988427079,2971.0174141601065,1800.70393407882,2643.0438705736196,2516.214104371157,2752.9448511453575,2999.2429875614393,2805.4830540975354,414.9628655451667,2074.962020165311,1932.4500346766877,2295.714241433787,160.06619818859323,2294.6639935170037,418.80319245230197,2736.767909931028,3161.4394248114036,1253.391329131279,3163.7668178497793,3610.4095101335492,266.69252036714454,2081.267358830928,0.0,1045.1390071136348,2324.280787410901,857.4109607531055,1696.3290675560506,1859.6936712880788,2648.273984211509,829.2441099370815,609.3903414500217,1515.6720128044303
SBSL,490.0495378441451,1531.1205796521401,1926.263274396838,1896.0247284524212,2605.252676345669,1950.532933935084,1757.0995192946452,2783.5993933340105,2826.7005849799357,646.7993970587736,2251.2700168306537,1654.1990845244763,2330.3006321353487,1146.6983707342167,2292.114576101477,1209.8158172742446,2741.9439122573945,3134.0083999980443,1640.2097632049345,2279.1612230248115,2735.7808900562,1200.6574939063894,2262.883424992674,1045.1390071136348,0.0,2354.1224564092477,1319.3013362304384,2011.1948995432895,814.6135526215626,2288.225277497469,316.5173586860531,1223.1645256336665,970.1383509728674
SBSP,2481.686986888958,872.803051150787,3312.936803218234,523.6061565959527,331.14953440223115,1328.842237843517,2704.5970989054044,821.519277598798,488.09223613585516,2373.4976197290475,359.5290884341775,822.6477606322774,28.83082028208227,2217.730669177873,84.60562920174993,1948.0292989420886,413.55960064063663,837.4523455213957,1124.2108497782283,2473.65558281584,2723.7402291066733,2128.984765745938,365.48316822853127,2324.280787410901,2354.1224564092477,0.0,1480.3851933720832,756.135214768821,2675.7633625799313,897.7579685148678,2105.021920089951,1733.6884869790476,1493.8647860936535
SBSV,1701.1958236237438,1084.7544667003135,3027.7653960305893,960.1992689657546,1805.6014911329055,1940.9306533646711,2629.1934662617955,2202.6905821490755,1955.3459953101717,1015.781483355299,1217.9081671338495,1242.430680416066,1451.59374035882,739.1891818689024,1458.3207910959752,467.724176813301,1889.748958326257,2314.353299909626,400.8764873945741,2831.1495742930847,3239.281061814261,648.5999723423716,1224.0395566222594,857.4109607531055,1319.3013362304384,1480.3851933720832,0.0,843.5085406977989,2013.0291192334103,1932.0553447438274,1002.7927611278643,253.5357885661654,1130.91624683202
SBVT,2280.1295430617065,943.0003652910063,3399.4020621104582,391.0123726753954,1082.477661447909,1750.1514808786599,2873.6528629130294,1569.7815995178216,1176.117201080469,1842.5457818900309,417.8373518064072,1024.8959704072497,729.2406327948087,1566.9196675432438,771.0296425419176,1288.3910077780872,1125.8931834268537,1538.4539213140436,443.32361523831935,2842.9350165268293,3175.1374838520615,1466.979410410626,418.9298397817031,1696.3290675560506,2011.1948995432895,756.135214768821,843.5085406977989,0.0,2545.1683106126543,1499.6910900665046,1712.0633441920459,1086.938797731527,1405.515223089622
SBMQ,329.53287911284076,1803.6843600650466,1113.348930427563,2321.952078784233,2851.5613654983295,1831.9007616476476,1055.2681495248148,2875.0948012003882,3094.139562095098,1456.900592125042,2679.142165952976,1866.099888302197,2657.98084071105,1959.0242189504065,2599.06213995929,1997.7909685994268,3005.6762941112797,3340.8322835702875,2256.2523205761004,1722.87347642358,2163.4998883796347,2007.4633340298953,2692.669500959207,1859.6936712880788,814.6135526215626,2675.7633625799313,2013.0291192334103,2545.1683106126543,0.0,2315.1950630114266,1077.9818555052457,1974.5765831096512,1188.5583819823983
SBCG,2226.9715174603184,877.6965696521813,2674.392370661691,1122.0318327983784,795.4521880906076,556.9120426307591,2023.9626925670636,570.0949273924697,1013.111760960015,2549.4332901890275,1208.6543728284707,715.8329240801894,907.7051784989965,2589.052940672258,828.1087964122677,2362.221992968969,939.9354607032076,1115.992840085134,1703.8137680897912,1640.8099428663415,1842.499266985301,2527.6354373121603,1219.5239372845522,2648.273984211509,2288.225277497469,897.7579685148678,1932.0553447438274,1499.6910900665046,2315.1950630114266,0.0,2139.1068638921965,2156.2741319203187,1318.3839926221137
SBTE,749.1306896010877,1324.4519247257397,2170.7561036589595,1625.4404701254962,2374.470349790141,1869.3847899992418,1923.7059938285993,2599.5019216704754,2586.1618973287004,496.7383664789536,1974.2171820669753,1463.5033513793928,2079.842012613053,900.879940969781,2048.585596475006,919.9551814384862,2503.7086022996914,2907.445782804187,1329.4069637306316,2361.4432811919933,2814.0981371475764,936.880472493451,1985.1825069469141,829.2441099370815,316.5173586860531,2105.021920089951,1002.7927611278643,1712.0633441920459,1077.9818555052457,2139.1068638921965,0.0,913.4728501565196,842.5516615418758
SBAR,1651.0161926452467,1292.4575300310996,3031.928447164143,1212.7959156669742,2058.3338451325385,2123.8807850275634,2683.045878945251,2448.1591717696015,2208.833864623272,817.4802173165338,1469.4333909890597,1453.644242652174,1704.9079868860854,485.95877766671003,1710.722005830514,215.44223205218785,2143.2718071744525,2567.8868034332427,644.0916544004457,2949.2208929890276,3371.418456226719,395.53483747622914,1475.2407239716192,609.3903414500217,1223.1645256336665,1733.6884869790476,253.5357885661654,1086.938797731527,1974.5765831096512,2156.2741319203187,913.4728501565196,0.0,1235.5003182047083
SBPJ,991.082678207382,622.0040349146099,1999.6566255370162,1140.7825123987272,1696.4758005147066,1030.404704905809,1521.7401864900366,1820.1369109909044,1932.5429249183917,1303.5081726349813,1494.1181408714406,711.1848806636661,1474.7365252734178,1514.104503509775,1419.9000881900897,1378.999616844473,1844.754102976563,2210.107174604943,1213.696689148564,1713.7207359619806,2139.071797629038,1493.869213207847,1507.853409165387,1515.6720128044303,970.1383509728674,1493.8647860936535,1130.91624683202,1405.515223089622,1188.5583819823983,1318.3839926221137,842.5516615418758,1235.5003182047083,0.0
